Destination;Aktivitet;Kurs/besökande skola;Enhet;
Elda, Spanien;Jobbskugga;IES LA TORRETA;Alfred Dalin;Erasmus 
Bryssel, Belgien;Studiebesök;EU Studiebesök;Alfred Dalin;Erasmus 
Barcelona, Spanien;Kurs;Coaching and Mentoring to Support teachers ;Attarpskolan 7-9;Erasmus 
Dublin, Irland;Kurs;English Language Course (Advanced Level);Attarpskolan 7-9;Erasmus 
Hannover, Tyskland;Jobbskugga;Grundschule Wasserkampstraße;Barnarpsskolan;Erasmus 
Tenhultskolan, Sverige ;Jobbskugga;Jobbskuggning Modersmål;Berdychiv;Erasmus 
Florens, Italien;Kurs;Multiple Intelligences for Deeper Learning;Dalens resursenhet;Erasmus 
Dabrowa, Polen ;Jobbskugga;Specjalny Osrodek Szkolno-Wychowawczy dla Dzieci i Mlodziezy Niepelnosprawnej;EHT;Erasmus 
Bryssel, Belgien;Studiebesök;EU Studiebesök;Flahultskolan;Erasmus 
Martorell, Spanien;Jobbskugga;Institut Pompeu Fabra;Grundskoleförvaltningen;Erasmus 
Florence, Italien;Kurs;Leadership and management for school principals;Grundskoleförvaltningen;Erasmus 
Florens, Italien;Kurs;Resilience and well-being strenghts for teachers;Gräshagsskolan;Erasmus 
Florens, Italien;Kurs ;Successful Strategies for Teaching Students with Special Needs in Every Classroom;Gräshagsskolan;Erasmus 
Barcelona, Spanien;Kurs ;Happy schools: Positve education for Well-Being and life-skills development ;Gräshagsskolan;Erasmus 
Aten, Grekland ;Kurs;To ChatGPT or not to GhatGPT: Artificial Intelligence (AI) is not just Chat GPT;Hisingstorp;Erasmus 
Kaunas, Litauen;Jobbskugga;Scandinavian days ;Hisingstorp;Erasmus 
Split, Kroatien ;Kurs; Digital Storytelling  ;Hisingstorp;Erasmus 
Amsterdam, Nederländerna ;Jobbskugga;HET abc (särbegåvning);Hisingstorp;Erasmus 
Madiera, Portugal;Jobbskugga;Escola Basica Integrada de Agua de Pau;Hisingstorp;Erasmus 
Florens, Italien;Kurs ;ICT Tools for a Creative and Collaborative Classroom;Hisingstorp;Erasmus 
Budapest, Ungern;Kurs;Coaching and Mentoring to Support teachers ;Hovslätt;Erasmus 
Bergen, Norge;Jobbskugga;Garnes Skule ;Hovslätt;Erasmus 
